predicate,agent,patient,manner,location,entry_id,original_text
get,you,eleven,N/A,N/A,286,I think you’ve got eleven.
believe,you,it,N/A,N/A,287,You believe it?
move,you,chair,closer,N/A,288,Can you move your chair closer?
count,you,them,now,N/A,289,Now you count them.
point,i,N/A,N/A,N/A,290,"No, I’ll point to them, you count them."
count,you,them,N/A,N/A,290,"No, I’ll point to them, you count them."
’,that,N/A,N/A,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
count,you,them,N/A,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
agree,you,N/A,already,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
count,you,them,N/A,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
agree,you,N/A,already,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
add,these,N/A,N/A,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
give,N/A,number,N/A,N/A,291,"That’s the way you count them. You already agreed that you can count them from this way, or this way. You already have agreed that these added to these give you the correct number."
go,i,N/A,now,N/A,292,"Now, I’m going to count them. Ten, nine, eight, seven, six, and five is eleven."
count,N/A,them,N/A,N/A,292,"Now, I’m going to count them. Ten, nine, eight, seven, six, and five is eleven."
know,you,hand,now,N/A,293,And now do you know your right hand from your left hand?
believe,you,it,N/A,N/A,294,And do you believe it?
put,N/A,hand,N/A,N/A,295,"Put that hand behind you. Now, which hand is left?"
leave,hand,N/A,now,N/A,295,"Put that hand behind you. Now, which hand is left?"
’,it,technique,N/A,N/A,296,"But, it’s a marvelous technique for working with children."
mean,you,N/A,N/A,N/A,298,You mean the English have a right hand that’s left.
have,english,hand,N/A,N/A,298,You mean the English have a right hand that’s left.
leave,that,N/A,N/A,N/A,298,You mean the English have a right hand that’s left.
mean,you,N/A,N/A,N/A,299,You mean the English have a right hand that can be a left hand.
have,english,hand,N/A,N/A,299,You mean the English have a right hand that can be a left hand.
emphasize,i,importance,right,N/A,300,"These national differences are astonishing. All right, yesterday I emphasized the importance of understanding the patient’s words and really understanding them. You don’t interpret your patient’s words in your language. And she just demonstrated that the right hand in English can be the left hand. But it can’t be the left hand in Italian."
understand,N/A,words,N/A,N/A,300,"These national differences are astonishing. All right, yesterday I emphasized the importance of understanding the patient’s words and really understanding them. You don’t interpret your patient’s words in your language. And she just demonstrated that the right hand in English can be the left hand. But it can’t be the left hand in Italian."
understand,N/A,them,really,N/A,300,"These national differences are astonishing. All right, yesterday I emphasized the importance of understanding the patient’s words and really understanding them. You don’t interpret your patient’s words in your language. And she just demonstrated that the right hand in English can be the left hand. But it can’t be the left hand in Italian."
interpret,you,words,N/A,N/A,300,"These national differences are astonishing. All right, yesterday I emphasized the importance of understanding the patient’s words and really understanding them. You don’t interpret your patient’s words in your language. And she just demonstrated that the right hand in English can be the left hand. But it can’t be the left hand in Italian."
demonstrate,she,N/A,just,N/A,300,"These national differences are astonishing. All right, yesterday I emphasized the importance of understanding the patient’s words and really understanding them. You don’t interpret your patient’s words in your language. And she just demonstrated that the right hand in English can be the left hand. But it can’t be the left hand in Italian."
have,word,lot,"now, usually",N/A,301,"Now, every word in any language has usually a lot of different meanings. Now, the word “run” has about 142 meanings."
have,word,meanings,now,N/A,301,"Now, every word in any language has usually a lot of different meanings. Now, the word “run” has about 142 meanings."
run,government,N/A,N/A,N/A,302,"Yes, “run.” The government can run. A run of luck in cards. The girl can run. A run of fish. A run in a lady’s stocking. A road runs uphill and downhill, and still stands still. A hundred and forty-two meanings for one word."
run,girl,N/A,N/A,N/A,302,"Yes, “run.” The government can run. A run of luck in cards. The girl can run. A run of fish. A run in a lady’s stocking. A road runs uphill and downhill, and still stands still. A hundred and forty-two meanings for one word."
run,road,N/A,N/A,N/A,302,"Yes, “run.” The government can run. A run of luck in cards. The girl can run. A run of fish. A run in a lady’s stocking. A road runs uphill and downhill, and still stands still. A hundred and forty-two meanings for one word."
stand,N/A,N/A,"still, still",N/A,302,"Yes, “run.” The government can run. A run of luck in cards. The girl can run. A run of fish. A run in a lady’s stocking. A road runs uphill and downhill, and still stands still. A hundred and forty-two meanings for one word."
say,you,los,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
say,you,N/A,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
untie,N/A,horse,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
put,germans,verbs,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
use,english,verbs,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
have,we,patterns,N/A,N/A,303,"In German you say, “Machen Sie das Pferd los.” Is that right? In English, you say, “Untie the horse.” The Germans put their verbs one way, the English use their verbs a different way. And so, you ought to be acquainted with the linguistic patterns of your patients. And we all have our own linguistic patterns, our own personal understandings."
invite,i,N/A,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
say,wife,N/A,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
like,i,N/A,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
prepare,N/A,dinner,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
like,i,N/A,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
prepare,N/A,foods,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
tell,i,her,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
’m,i,man,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
boil,you,potatoes,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
want,you,N/A,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
give,N/A,treat,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
like,i,gravy,N/A,N/A,304,"I was invited to speak to the Medical Society in St. Louis. The president and his wife were to be my hosts, and the president’s wife said, “Dr. Erickson, I would like to prepare a very nice dinner for you and I would like to prepare your favorite foods.” And I told her, “I’m a meat and potatoes man. Any kind of meat, any kind of potatoes. And you can boil the potatoes. But if you want to give me a special treat, I would like some milk gravy.”"
know,you,N/A,N/A,N/A,305,You all know what milk gravy is? Flour mixed with milk and boiled. Milk gravy is very tasty.
come,patients,N/A,now,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
tell,N/A,problems,N/A,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
tell,they,problems,N/A,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
tell,they,you,N/A,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
think,they,N/A,N/A,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
think,they,N/A,only,N/A,306,Now your patients come to you and tell you their problems. But do they tell you their problems or do they tell you what they think are problems? And are they problems only because they think that the things are problems?
bring,mother,daughter,now,N/A,307,"Now, a mother brought her 11-year-old daughter in to see me. As soon as I heard the word “bedwetting,” I sent the mother out of the room and took the history from the little girl — a tall blond, a very pretty girl."
see,N/A,me,N/A,N/A,307,"Now, a mother brought her 11-year-old daughter in to see me. As soon as I heard the word “bedwetting,” I sent the mother out of the room and took the history from the little girl — a tall blond, a very pretty girl."
hear,i,N/A,N/A,N/A,307,"Now, a mother brought her 11-year-old daughter in to see me. As soon as I heard the word “bedwetting,” I sent the mother out of the room and took the history from the little girl — a tall blond, a very pretty girl."
send,i,mother,soon,N/A,307,"Now, a mother brought her 11-year-old daughter in to see me. As soon as I heard the word “bedwetting,” I sent the mother out of the room and took the history from the little girl — a tall blond, a very pretty girl."
take,N/A,history,N/A,N/A,307,"Now, a mother brought her 11-year-old daughter in to see me. As soon as I heard the word “bedwetting,” I sent the mother out of the room and took the history from the little girl — a tall blond, a very pretty girl."
develop,she,infection,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
treat,infection,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
cystoscope,she,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
examine,pelvis,N/A,finally,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
find,focus,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
operate,she,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
cystoscope,she,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
hope,i,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
know,you,word,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
know,you,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
relax,she,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
wet,she,bed,soon,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
control,she,urination,forcibly,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
laugh,she,N/A,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
cause,relaxation,N/A,soon,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
wet,her,pants,N/A,N/A,308,"Her story was that within a month of her birth she had developed a bladder infection. That infection had been treated by urologists. She had been cystoscoped, day after day, week after week, month after month, year after year. Finally the pelvis and each kidney were examined with a Lucite lamp inserted through the bladder and up into the pelvis and the kidney. The focus of the infection was found in one kidney so she was operated on and was freed of the infection. But she had been cystoscoped… I hope you all know that word. Do you? Do you know what a cystoscope is? …so many times that her bladder sphincter was so dilated that as soon as she relaxed in sleep she wet the bed. While she could forcibly control her urination in the waking state, it was an all-day job. And as soon as she laughed at something, bodily relaxation would cause her to wet her pants."
treat,you,case,"now, how",N/A,309,"Now, how would you treat that case?"
shout,N/A,N/A,how,N/A,310,"Family therapy. How would you. In fact, how would all of you … and don’t shout all at once."
expect,you,N/A,long,N/A,311,How long would you expect to treat her?
treat,N/A,her,N/A,N/A,311,How long would you expect to treat her?
tell,you,her,N/A,N/A,313,And what would you tell her?
think,you,N/A,N/A,N/A,314,What do you think she has been doing for the last four years?
do,she,N/A,N/A,N/A,314,What do you think she has been doing for the last four years?
do,you,that,how,N/A,315,How would you do that?
anticipate,you,N/A,long,N/A,316,How long would you anticipate treating her?
treat,N/A,her,N/A,N/A,316,How long would you anticipate treating her?
think,you,N/A,N/A,N/A,317,Don’t you think being called a bedwetter for 11 years would motivate her enough?
motivate,N/A,her,enough,N/A,317,Don’t you think being called a bedwetter for 11 years would motivate her enough?
take,it,you,long,N/A,318,How long would it take you?
think,you,N/A,N/A,N/A,319,Don’t you think that she has been trying to exercise those muscles in 11 years?
try,she,N/A,N/A,N/A,319,Don’t you think that she has been trying to exercise those muscles in 11 years?
exercise,N/A,muscles,N/A,N/A,319,Don’t you think that she has been trying to exercise those muscles in 11 years?
explain,you,N/A,how,N/A,320,How would you explain to her how to do it?
do,N/A,it,how,N/A,320,How would you explain to her how to do it?
know,all,answer,now,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,answer,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
tell,i,her,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
’m,i,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
help,i,you,either,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
be,N/A,something,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,it,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
find,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,N/A,already,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,N/A,N/A,soon,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
begin,you,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
have,N/A,beds,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,she,N/A,"now, already",N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
know,she,N/A,N/A,N/A,321,"All right. Now all of you know the answer, but you don’t know that you know the answer. I told her, “I’m like all other doctors. I can’t help you either. But there is something that you know, but you don’t know that you know it. As soon as you find out what it is that you already know, but don’t know you know, you can begin having dry beds.” Now what did she already know, but didn’t know she knew?"
mean,you,N/A,N/A,N/A,322,By “most of the time” you mean she could hold it some of the time but not all of the time. That isn’t very helpful knowing that you can’t hold it some of the time.
